version,region,arch,ami
9.6.20250522,af-south-1,aarch64,ami-0a3bf07affc9491fc
9.6.20250522,af-south-1,x86_64,ami-08592db85201ab9c7
9.6.20250522,ap-east-1,aarch64,ami-0b54c9b98c3f89da3
9.6.20250522,ap-east-1,x86_64,ami-0ac9b6cb9af908b58
9.6.20250522,ap-northeast-1,aarch64,ami-0ed29ab4b93d08a07
9.6.20250522,ap-northeast-1,x86_64,ami-07824156b2895de93
9.6.20250522,ap-northeast-2,aarch64,ami-036ddc756caa7f361
9.6.20250522,ap-northeast-2,x86_64,ami-08239df3d9eaefe48
9.6.20250522,ap-northeast-3,aarch64,ami-07edf1a31b7c102a1
9.6.20250522,ap-northeast-3,x86_64,ami-05b9c0c3d0158f574
9.6.20250522,ap-south-1,aarch64,ami-08face2869c6849c0
9.6.20250522,ap-south-1,x86_64,ami-0cf757127b547f60f
9.6.20250522,ap-south-2,aarch64,ami-03af6b95523eb56a1
9.6.20250522,ap-south-2,x86_64,ami-0a4a0c86c64c0d4f6
9.6.20250522,ap-southeast-1,aarch64,ami-08e96a48b10441a12
9.6.20250522,ap-southeast-1,x86_64,ami-0c59e5a5433edef46
9.6.20250522,ap-southeast-2,aarch64,ami-03fd2a8a0e86b0d09
9.6.20250522,ap-southeast-2,x86_64,ami-000f9342e411f0864
9.6.20250522,ap-southeast-3,aarch64,ami-0e8e6fe440e5f28f6
9.6.20250522,ap-southeast-3,x86_64,ami-09780fcbd82cbbf1a
9.6.20250522,ap-southeast-4,aarch64,ami-0cd8ff35ab46e401a
9.6.20250522,ap-southeast-4,x86_64,ami-06d942bfc10e78891
9.6.20250522,ap-southeast-5,aarch64,ami-08dce39717758922f
9.6.20250522,ap-southeast-5,x86_64,ami-06865b6b0509ab783
9.6.20250522,ap-southeast-7,aarch64,ami-007fbd3396ded9436
9.6.20250522,ap-southeast-7,x86_64,ami-0c9a5b2e616b5fca7
9.6.20250522,ca-central-1,aarch64,ami-07db29af0b24d09c8
9.6.20250522,ca-central-1,x86_64,ami-0995f3249d361c307
9.6.20250522,ca-west-1,aarch64,ami-0d7229421662185bc
9.6.20250522,ca-west-1,x86_64,ami-0aa580ca0acb7b1a2
9.6.20250522,eu-central-1,aarch64,ami-08bd8b58d4ba565b3
9.6.20250522,eu-central-1,x86_64,ami-06a77ac285455577f
9.6.20250522,eu-central-2,aarch64,ami-0c2d32646bc56e2d6
9.6.20250522,eu-central-2,x86_64,ami-06eac77e8badfa4ed
9.6.20250522,eu-north-1,aarch64,ami-0833fe2352644adaf
9.6.20250522,eu-north-1,x86_64,ami-03dff0cfc281853d2
9.6.20250522,eu-south-1,aarch64,ami-0d42d10a787036aab
9.6.20250522,eu-south-1,x86_64,ami-0bee57fea1a314d9e
9.6.20250522,eu-south-2,aarch64,ami-0237c8ed06f21d55a
9.6.20250522,eu-south-2,x86_64,ami-0c5fad97531148070
9.6.20250522,eu-west-1,aarch64,ami-0415f2981dac9d278
9.6.20250522,eu-west-1,x86_64,ami-091880ff1d169a3ff
9.6.20250522,eu-west-2,aarch64,ami-0aff7b569e0fe0fb7
9.6.20250522,eu-west-2,x86_64,ami-0358944e9308bdff3
9.6.20250522,eu-west-3,aarch64,ami-0bcc4588d98cdaac6
9.6.20250522,eu-west-3,x86_64,ami-072941c79895add97
9.6.20250522,il-central-1,aarch64,ami-05f4e312d4eb0cfc5
9.6.20250522,il-central-1,x86_64,ami-0c7c9a47e262f63c2
9.6.20250522,me-central-1,aarch64,ami-0f0d68da6c5e4db9d
9.6.20250522,me-central-1,x86_64,ami-08ceaa5d6aaf93082
9.6.20250522,me-south-1,aarch64,ami-033f0987d9cbb2252
9.6.20250522,me-south-1,x86_64,ami-0b56043c1498bb3aa
9.6.20250522,mx-central-1,aarch64,ami-06aefd205d7279898
9.6.20250522,mx-central-1,x86_64,ami-0829cb4533a323d85
9.6.20250522,sa-east-1,aarch64,ami-0df802a93bc28e969
9.6.20250522,sa-east-1,x86_64,ami-097e523ab5678a59d
9.6.20250522,us-east-1,aarch64,ami-02b2b873fd215c24a
9.6.20250522,us-east-1,x86_64,ami-0103658bbcfb80f69
9.6.20250522,us-east-2,aarch64,ami-07183398dba9b2685
9.6.20250522,us-east-2,x86_64,ami-09545e107fe5b9d85
9.6.20250522,us-west-1,aarch64,ami-050c3d03fa39daf12
9.6.20250522,us-west-1,x86_64,ami-03838f06b300f5aa7
9.6.20250522,us-west-2,aarch64,ami-098d0cd8d41389c86
9.6.20250522,us-west-2,x86_64,ami-04062b2c5ad9428ac
